Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,BOOTSTRAP POST /auth/register,120,0,430,507.8164820826108,264.05426900601014,1427.2159910033224,208.98333333333332,0.672468003679275,0.0,440,480,500,560,890,1100,1400,1400,1400,1400,1400
GET,GET /admin/rides/open,29,0,33,52.99569496379137,7.31570299831219,248.96320399420802,86491.5172413793,0.1625131008891581,0.0,33,53,69,76,130,150,250,250,250,250,250
GET,GET /admin/rides/stats,54,0,26,38.609490054551756,15.365245009888895,494.0844780066982,342.962962962963,0.3026106016556737,0.0,26,32,37,43,51,55,81,490,490,490,490
GET,GET /rides,5179,0,12,23.90334693362336,4.455835995031521,541.1118420015555,8863.775439273992,29.022598258791373,0.0,12,16,20,24,40,76,180,250,480,540,540
GET,GET /rides/my/bookings,1163,0,11,23.810668144557667,4.349857001216151,537.8271420049714,288.3542562338779,6.517335735658306,0.0,11,15,19,24,42,83,170,270,410,540,540
GET,GET /rides/{ride_id},1551,0,9,19.906756323217316,3.6920580023434013,513.625570005388,236.62798194713088,8.691648947554627,0.0,9,12,15,19,32,67,160,230,500,510,510
GET,GET /rides/{ride_id}/bookings/pending,939,0,13,25.75748941107431,5.584836995694786,607.5570790126221,20.12034078807242,5.262062128790326,0.0,13,17,21,24,39,81,210,270,610,610,610
POST,POST /rides,920,0,34,54.387049219851335,16.091393001261167,598.8598039984936,236.23260869565217,5.155588028207775,0.0,34,43,52,59,89,180,310,370,600,600,600
POST,POST /rides/bookings/{booking_id}/accept,47,0,43,61.579458977769505,20.584515994414687,280.2700039901538,253.17021276595744,0.2633833014410493,0.0,43,53,61,69,120,230,280,280,280,280,280
POST,POST /rides/bookings/{booking_id}/reject,14,0,20,49.244326213998384,12.251524996827357,339.01585498824716,251.57142857142858,0.07845460042924873,0.0,22,29,31,31,98,340,340,340,340,340,340
POST,POST /rides/{ride_id}/book,95,0,33,81.31201049423237,17.210505000548437,453.84246700268704,250.8842105263158,0.5323705029127593,0.0,33,54,81,130,240,290,400,450,450,450,450
POST,POST /rides/{ride_id}/end,49,0,18,21.654832060151847,10.259005997795612,66.8700409878511,240.9795918367347,0.2745911015023706,0.0,18,21,25,27,36,51,67,67,67,67,67
POST,POST /rides/{ride_id}/start,180,0,17,30.6510096494296,9.151574995485134,258.0582399968989,239.11666666666667,1.0087020055189124,0.0,18,22,28,32,55,100,220,250,260,260,260
,Aggregated,10340,0,13,32.788328610104934,3.6920580023434013,1427.2159910033224,4786.2709864603485,57.94432631703086,0.0,13,19,25,30,53,120,290,410,920,1400,1400
